customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,num_support_tickets,avg_monthly_usage_gb,churn
CUST-000000,Female,0,No,Yes,8,No,Yes,DSL,No internet service,No,No,No,Month-to-month,Yes,Bank transfer,67.37,420.21,0,170.0,0
CUST-000001,Male,0,No,Yes,23,Yes,No,Fiber optic,No internet service,No internet service,No,Yes,One year,No,Bank transfer,119.21,2377.08,2,169.2,1
CUST-000002,Female,0,Yes,No,29,Yes,No phone service,Fiber optic,Yes,No,No internet service,No,Month-to-month,Yes,Credit card,99.18,2280.55,3,92.1,1
CUST-000003,Male,0,No,No,10,Yes,No,Fiber optic,No internet service,No,No,No internet service,Month-to-month,Yes,Electronic check,60.24,478.57,0,81.9,0
CUST-000004,Male,0,Yes,No,27,No,No,DSL,Yes,No,No,Yes,Month-to-month,No,Bank transfer,111.61,2404.78,5,0.0,1
CUST-000005,Male,1,Yes,No,40,Yes,Yes,DSL,Yes,No,No,No,One year,Yes,Mailed check,51.47,1813.79,1,220.3,0
CUST-000006,Female,0,No,No,3,Yes,No,DSL,No,No,No internet service,No,Month-to-month,No,Bank transfer,94.56,212.51,6,150.4,1
CUST-000007,Male,0,No,No,37,No,Yes,DSL,No,Yes,No,No,Month-to-month,Yes,Credit card,35.71,1088.53,2,202.2,1
CUST-000008,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,No,Month-to-month,No,Electronic check,124.07,2988.14,3,166.2,1
CUST-000009,Male,1,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,One year,Yes,Electronic check,107.37,768.93,3,175.7,1
CUST-000010,Male,0,No,Yes,64,Yes,Yes,DSL,No,No,No internet service,No internet service,Month-to-month,No,Electronic check,119.88,6271.47,2,318.1,1
CUST-000011,Female,0,Yes,No,51,Yes,Yes,Fiber optic,No internet service,No,Yes,No,Month-to-month,No,Bank transfer,86.9,3703.48,3,72.8,1
CUST-000012,Female,0,Yes,Yes,6,Yes,No,Fiber optic,No internet service,No,No,No,Month-to-month,Yes,Credit card,19.7,100.04,4,90.7,1
CUST-000013,Female,0,Yes,Yes,38,No,No,Fiber optic,No,Yes,No internet service,No internet service,One year,Yes,Credit card,123.45,3913.09,2,291.2,0
CUST-000014,Male,0,Yes,Yes,72,Yes,No,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Bank transfer,108.45,5881.53,2,263.5,0
CUST-000015,Female,0,Yes,Yes,30,Yes,No phone service,Fiber optic,Yes,No,No,No internet service,Month-to-month,No,Electronic check,67.73,1674.64,1,131.9,1
CUST-000016,Male,0,No,Yes,20,Yes,No,DSL,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer,110.97,1683.24,2,143.3,1
CUST-000017,Male,0,Yes,No,34,Yes,Yes,No,No,No internet service,No internet service,No,Month-to-month,No,Credit card,72.52,2322.72,2,171.4,0
CUST-000018,Female,0,Yes,No,24,Yes,No,Fiber optic,Yes,No,Yes,Yes,Two year,Yes,Mailed check,90.15,1763.15,0,115.1,0
CUST-000019,Female,0,No,No,29,Yes,No,Fiber optic,No,No,No internet service,No,One year,No,Electronic check,88.48,2320.11,0,255.8,0
CUST-000020,Female,0,Yes,Yes,7,Yes,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,140.25,840.5,2,107.2,0
CUST-000021,Male,0,Yes,No,27,Yes,No,Fiber optic,No internet service,No internet service,No,No,Month-to-month,Yes,Electronic check,149.13,3426.65,3,202.3,1
CUST-000022,Male,0,Yes,No,34,No,No,Fiber optic,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,63.41,1887.69,1,143.5,0
CUST-000023,Female,0,Yes,No,34,Yes,Yes,Fiber optic,Yes,No,No,No,Two year,Yes,Mailed check,106.58,3117.21,0,129.2,0
CUST-000024,Female,0,No,No,72,Yes,Yes,DSL,No internet service,No,No internet service,Yes,Month-to-month,Yes,Credit card,65.84,4108.75,2,261.6,0
CUST-000025,Female,1,No,No,12,Yes,No,No,No,No internet service,No internet service,Yes,One year,No,Bank transfer,73.1,763.17,1,227.2,0
CUST-000026,Male,0,Yes,No,44,Yes,Yes,Fiber optic,No,No internet service,No,Yes,Month-to-month,No,Mailed check,55.52,2301.08,2,240.1,1
CUST-000027,Male,0,No,No,9,Yes,Yes,No,Yes,No internet service,No,No,Month-to-month,No,Credit card,135.19,959.28,0,0.0,1
CUST-000028,Female,0,Yes,No,11,Yes,No,DSL,Yes,No,Yes,No,One year,No,Electronic check,54.28,439.85,2,288.0,0
CUST-000029,Male,0,Yes,No,27,Yes,Yes,DSL,No,No internet service,Yes,No,Two year,No,Electronic check,88.46,2045.39,1,254.0,0
CUST-000030,Male,0,No,No,63,Yes,No,DSL,No,No,Yes,Yes,One year,Yes,Credit card,100.13,5106.21,6,318.6,0
CUST-000031,Male,0,No,Yes,18,Yes,Yes,Fiber optic,No,No,No internet service,No,Month-to-month,Yes,Mailed check,89.0,1320.15,1,176.6,1
