customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,num_support_tickets,avg_monthly_usage_gb,churn
CUST-000000,Male,0,No,No,38,Yes,No,Fiber optic,No,Yes,No,No internet service,Month-to-month,Yes,Bank transfer,63.23,2354.83,0,347.4,0
CUST-000001,Female,0,No,No,51,Yes,No,Fiber optic,No,No internet service,No,No,Two year,Yes,Mailed check,102.24,5298.34,1,254.3,0
CUST-000002,Male,0,Yes,No,33,No,No,Fiber optic,No internet service,No,Yes,Yes,Two year,Yes,Electronic check,18.0,537.38,1,142.4,1
CUST-000003,Female,0,No,No,30,Yes,No phone service,DSL,No,No internet service,No internet service,No,Month-to-month,No,Electronic check,78.17,2045.94,4,57.4,1
CUST-000004,Male,0,Yes,No,55,Yes,No phone service,DSL,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,79.46,3877.85,1,197.7,0
CUST-000005,Male,0,Yes,No,32,Yes,No,Fiber optic,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer,88.47,2936.93,2,242.0,0
CUST-000006,Female,0,No,Yes,42,Yes,Yes,DSL,Yes,No internet service,No internet service,No internet service,One year,Yes,Bank transfer,67.23,2708.8,1,221.2,0
CUST-000007,Female,0,Yes,No,39,Yes,Yes,Fiber optic,No,No internet service,Yes,No internet service,Two year,Yes,Mailed check,57.46,2003.17,1,326.8,0
CUST-000008,Female,0,No,No,55,Yes,Yes,Fiber optic,No,No,No,No internet service,Two year,No,Mailed check,136.57,7565.12,0,389.5,0
CUST-000009,Male,0,No,No,26,No,Yes,No,Yes,No internet service,No,No,Two year,Yes,Credit card,59.88,1506.19,3,278.2,0
CUST-000010,Female,0,No,Yes,68,Yes,No,DSL,No,No,No,Yes,Month-to-month,Yes,Credit card,40.84,2564.4,2,185.4,0
CUST-000011,Male,1,No,No,21,Yes,No,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Electronic check,111.34,1995.97,0,124.1,0
CUST-000012,Male,0,No,Yes,44,Yes,No,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Electronic check,98.32,4354.57,3,103.8,1
CUST-000013,Male,0,Yes,Yes,41,Yes,No,DSL,No,No internet service,No,Yes,Two year,Yes,Electronic check,59.25,2413.43,0,279.7,0
CUST-000014,Female,1,No,No,20,Yes,No,Fiber optic,No internet service,No,No,No,Month-to-month,Yes,Electronic check,81.08,1463.35,0,134.0,1
CUST-000015,Female,1,No,Yes,47,Yes,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card,69.83,2964.1,4,138.1,0
CUST-000016,Female,0,Yes,No,27,Yes,No,Fiber optic,No internet service,No,No internet service,No,Month-to-month,Yes,Mailed check,135.37,3305.31,2,135.6,1
CUST-000017,Female,0,Yes,No,15,Yes,No,Fiber optic,Yes,No,No internet service,No,Month-to-month,Yes,Mailed check,109.09,1610.25,1,209.8,1
CUST-000018,Male,0,Yes,No,51,Yes,No,DSL,No,No internet service,No,No,Month-to-month,Yes,Mailed check,68.97,3196.7,0,119.4,1
CUST-000019,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card,95.57,871.7,1,312.0,0
